DESCRIPTION,VIDEOA,VIDEOB,VIDEOC
spin the block,https://s3.amazonaws.com/voxsim-videos/video/spin_the_block/spin_the_block-2017-03-17-011422.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_block/spin_the_block-2017-03-17-011428.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_block/spin_the_block-2017-03-17-011435.mp4
spin the ball,https://s3.amazonaws.com/voxsim-videos/video/spin_the_ball/spin_the_ball-2017-03-17-011447.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_ball/spin_the_ball-2017-03-17-011454.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_ball/spin_the_ball-2017-03-17-011459.mp4
spin the plate,https://s3.amazonaws.com/voxsim-videos/video/spin_the_plate/spin_the_plate-2017-03-17-011627.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_plate/spin_the_plate-2017-03-17-011635.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_plate/spin_the_plate-2017-03-17-011641.mp4
spin the cup,https://s3.amazonaws.com/voxsim-videos/video/spin_the_cup/spin_the_cup-2017-03-17-011649.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_cup/spin_the_cup-2017-03-17-011655.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_cup/spin_the_cup-2017-03-17-011701.mp4
spin the disc,https://s3.amazonaws.com/voxsim-videos/video/spin_the_disc/spin_the_disc-2017-03-17-011708.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_disc/spin_the_disc-2017-03-17-011714.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_disc/spin_the_disc-2017-03-17-011721.mp4
spin the book,https://s3.amazonaws.com/voxsim-videos/video/spin_the_book/spin_the_book-2017-03-17-011735.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_book/spin_the_book-2017-03-17-011740.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_book/spin_the_book-2017-03-17-011746.mp4
spin the blackboard,https://s3.amazonaws.com/voxsim-videos/video/spin_the_blackboard/spin_the_blackboard-2017-03-17-011751.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_blackboard/spin_the_blackboard-2017-03-17-011758.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_blackboard/spin_the_blackboard-2017-03-17-011805.mp4
spin the bottle,https://s3.amazonaws.com/voxsim-videos/video/spin_the_bottle/spin_the_bottle-2017-03-17-011811.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_bottle/spin_the_bottle-2017-03-17-011817.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_bottle/spin_the_bottle-2017-03-17-011824.mp4
spin the grape,https://s3.amazonaws.com/voxsim-videos/video/spin_the_grape/spin_the_grape-2017-03-17-011832.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_grape/spin_the_grape-2017-03-17-011838.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_grape/spin_the_grape-2017-03-17-011845.mp4
spin the apple,https://s3.amazonaws.com/voxsim-videos/video/spin_the_apple/spin_the_apple-2017-03-17-011852.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_apple/spin_the_apple-2017-03-17-011858.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_apple/spin_the_apple-2017-03-17-011904.mp4
spin the banana,https://s3.amazonaws.com/voxsim-videos/video/spin_the_banana/spin_the_banana-2017-03-17-011911.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_banana/spin_the_banana-2017-03-17-011917.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_banana/spin_the_banana-2017-03-17-011922.mp4
spin the bowl,https://s3.amazonaws.com/voxsim-videos/video/spin_the_bowl/spin_the_bowl-2017-03-17-011929.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_bowl/spin_the_bowl-2017-03-17-011937.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_bowl/spin_the_bowl-2017-03-17-011943.mp4
